obstacle_x 1.7797 obstacle_y 0.662202  x = 0.493623 y = 0.0188962
obstacle_x 1.77714 obstacle_y 0.689178  x = 0.493623 y = 0.0188962
obstacle_x 1.7793 obstacle_y 0.719129  x = 0.493623 y = 0.0188962
obstacle_x 1.75384 obstacle_y 0.734057  x = 0.493623 y = 0.0188962
else R = 6.43213
obstacle_x 1.71337 obstacle_y -0.0211399  x = 0.510033 y = 0.0187744
obstacle_x 1.70688 obstacle_y -2.27415e-05  x = 0.510033 y = 0.0187744
obstacle_x 1.71181 obstacle_y 0.0418543  x = 0.510033 y = 0.0187744
obstacle_x 1.71123 obstacle_y 0.0628247  x = 0.510033 y = 0.0187744
obstacle_x 1.71127 obstacle_y 0.0838357  x = 0.510033 y = 0.0187744
obstacle_x 1.71095 obstacle_y 0.104862  x = 0.510033 y = 0.0187744
obstacle_x 1.71026 obstacle_y 0.125897  x = 0.510033 y = 0.0187744
obstacle_x 1.7102 obstacle_y 0.14704  x = 0.510033 y = 0.0187744
obstacle_x 1.70678 obstacle_y 0.167842  x = 0.510033 y = 0.0187744
obstacle_x 1.81158 obstacle_y 0.573936  x = 0.510033 y = 0.0187744
obstacle_x 1.77613 obstacle_y 0.585133  x = 0.510033 y = 0.0187744
obstacle_x 1.77873 obstacle_y 0.613083  x = 0.510033 y = 0.0187744
obstacle_x 1.76996 obstacle_y 0.636014  x = 0.510033 y = 0.0187744
obstacle_x 1.77324 obstacle_y 0.665197  x = 0.510033 y = 0.0187744
obstacle_x 1.76971 obstacle_y 0.691384  x = 0.510033 y = 0.0187744
obstacle_x 1.75952 obstacle_y 0.714239  x = 0.510033 y = 0.0187744
obstacle_x 1.74633 obstacle_y 0.735438  x = 0.510033 y = 0.0187744
else R = 3.53237
obstacle_x 1.7296 obstacle_y -0.0264178  x = 0.526441 y = 0.0185167
obstacle_x 1.7232 obstacle_y -0.00527379  x = 0.526441 y = 0.0185167
obstacle_x 1.72831 obstacle_y 0.0365823  x = 0.526441 y = 0.0185167
obstacle_x 1.72781 obstacle_y 0.057555  x = 0.526441 y = 0.0185167
obstacle_x 1.72794 obstacle_y 0.0785657  x = 0.526441 y = 0.0185167
obstacle_x 1.72771 obstacle_y 0.0995929  x = 0.526441 y = 0.0185167
obstacle_x 1.72711 obstacle_y 0.12063  x = 0.526441 y = 0.0185167
obstacle_x 1.72713 obstacle_y 0.141774  x = 0.526441 y = 0.0185167
obstacle_x 1.7238 obstacle_y 0.16259  x = 0.526441 y = 0.0185167
obstacle_x 1.83029 obstacle_y 0.568243  x = 0.526441 y = 0.0185167
obstacle_x 1.79489 obstacle_y 0.579588  x = 0.526441 y = 0.0185167
obstacle_x 1.79761 obstacle_y 0.607526  x = 0.526441 y = 0.0185167
obstacle_x 1.78894 obstacle_y 0.630494  x = 0.526441 y = 0.0185167
obstacle_x 1.79234 obstacle_y 0.659664  x = 0.526441 y = 0.0185167
obstacle_x 1.78891 obstacle_y 0.685865  x = 0.526441 y = 0.0185167
obstacle_x 1.77882 obstacle_y 0.708762  x = 0.526441 y = 0.0185167
obstacle_x 1.76572 obstacle_y 0.730016  x = 0.526441 y = 0.0185167
else R = 3.52978
obstacle_x 1.71143 obstacle_y -0.013203  x = 0.542849 y = 0.0181905
obstacle_x 1.72081 obstacle_y 0.0276714  x = 0.542849 y = 0.0181905
obstacle_x 1.71547 obstacle_y 0.0481007  x = 0.542849 y = 0.0181905
obstacle_x 1.71577 obstacle_y 0.0686041  x = 0.542849 y = 0.0181905
obstacle_x 1.7187 obstacle_y 0.0893081  x = 0.542849 y = 0.0181905
obstacle_x 1.71828 obstacle_y 0.109897  x = 0.542849 y = 0.0181905
obstacle_x 1.71948 obstacle_y 0.130682  x = 0.542849 y = 0.0181905
obstacle_x 1.71635 obstacle_y 0.151088  x = 0.542849 y = 0.0181905
obstacle_x 1.71682 obstacle_y 0.171937  x = 0.542849 y = 0.0181905
obstacle_x 1.80234 obstacle_y 0.564819  x = 0.542849 y = 0.0181905
obstacle_x 1.78988 obstacle_y 0.585474  x = 0.542849 y = 0.0181905
obstacle_x 1.7816 obstacle_y 0.608012  x = 0.542849 y = 0.0181905
obstacle_x 1.78007 obstacle_y 0.633997  x = 0.542849 y = 0.0181905
obstacle_x 1.77978 obstacle_y 0.661029  x = 0.542849 y = 0.0181905
obstacle_x 1.77101 obstacle_y 0.683948  x = 0.542849 y = 0.0181905
obstacle_x 1.76791 obstacle_y 0.7102  x = 0.542849 y = 0.0181905
obstacle_x 1.74961 obstacle_y 0.727926  x = 0.542849 y = 0.0181905
else R = 3.05082
obstacle_x 1.84252 obstacle_y -0.0256926  x = 0.559254 y = 0.0177498
obstacle_x 1.7021 obstacle_y -0.000979488  x = 0.559254 y = 0.0177498
obstacle_x 1.70606 obstacle_y 0.0389908  x = 0.559254 y = 0.0177498
obstacle_x 1.71051 obstacle_y 0.0591818  x = 0.559254 y = 0.0177498
obstacle_x 1.71061 obstacle_y 0.0793211  x = 0.559254 y = 0.0177498
obstacle_x 1.70736 obstacle_y 0.099264  x = 0.559254 y = 0.0177498
obstacle_x 1.70975 obstacle_y 0.119642  x = 0.559254 y = 0.0177498
obstacle_x 1.70879 obstacle_y 0.139811  x = 0.559254 y = 0.0177498
obstacle_x 1.7045 obstacle_y 0.159608  x = 0.559254 y = 0.0177498
obstacle_x 1.70878 obstacle_y 0.180556  x = 0.559254 y = 0.0177498
obstacle_x 1.79378 obstacle_y 0.568975  x = 0.559254 y = 0.0177498
obstacle_x 1.77763 obstacle_y 0.587471  x = 0.559254 y = 0.0177498
obstacle_x 1.77649 obstacle_y 0.613041  x = 0.559254 y = 0.0177498
obstacle_x 1.77215 obstacle_y 0.637379  x = 0.559254 y = 0.0177498
obstacle_x 1.77174 obstacle_y 0.664097  x = 0.559254 y = 0.0177498
obstacle_x 1.76552 obstacle_y 0.688074  x = 0.559254 y = 0.0177498
obstacle_x 1.75883 obstacle_y 0.71203  x = 0.559254 y = 0.0177498
obstacle_x 1.7371 obstacle_y 0.727184  x = 0.559254 y = 0.0177498
else R = 4.87203
obstacle_x 1.70866 obstacle_y -0.013154  x = 0.592056 y = 0.0166393
obstacle_x 1.71402 obstacle_y 0.0258742  x = 0.592056 y = 0.0166393
obstacle_x 1.71569 obstacle_y 0.0455051  x = 0.592056 y = 0.0166393
obstacle_x 1.71401 obstacle_y 0.0650676  x = 0.592056 y = 0.0166393
obstacle_x 1.71998 obstacle_y 0.0850649  x = 0.592056 y = 0.0166393
obstacle_x 1.71563 obstacle_y 0.104506  x = 0.592056 y = 0.0166393
obstacle_x 1.71989 obstacle_y 0.124673  x = 0.592056 y = 0.0166393
obstacle_x 1.71784 obstacle_y 0.14434  x = 0.592056 y = 0.0166393
obstacle_x 1.71742 obstacle_y 0.164229  x = 0.592056 y = 0.0166393
obstacle_x 1.71566 obstacle_y 0.183994  x = 0.592056 y = 0.0166393
obstacle_x 1.80895 obstacle_y 0.570481  x = 0.592056 y = 0.0166393
obstacle_x 1.78556 obstacle_y 0.585183  x = 0.592056 y = 0.0166393
obstacle_x 1.78261 obstacle_y 0.609492  x = 0.592056 y = 0.0166393
obstacle_x 1.77918 obstacle_y 0.63387  x = 0.592056 y = 0.0166393
obstacle_x 1.77878 obstacle_y 0.660215  x = 0.592056 y = 0.0166393
obstacle_x 1.77694 obstacle_y 0.68624  x = 0.592056 y = 0.0166393
obstacle_x 1.76335 obstacle_y 0.705803  x = 0.592056 y = 0.0166393
obstacle_x 1.74176 obstacle_y 0.720397  x = 0.592056 y = 0.0166393
else R = 2.43008
obstacle_x 1.72631 obstacle_y -0.0135212  x = 0.609721 y = 0.0167693
obstacle_x 1.73169 obstacle_y 0.0255045  x = 0.609721 y = 0.0167693
obstacle_x 1.73336 obstacle_y 0.0451347  x = 0.609721 y = 0.0167693
obstacle_x 1.7317 obstacle_y 0.064698  x = 0.609721 y = 0.0167693
obstacle_x 1.73768 obstacle_y 0.0846926  x = 0.609721 y = 0.0167693
obstacle_x 1.73333 obstacle_y 0.104135  x = 0.609721 y = 0.0167693
obstacle_x 1.73761 obstacle_y 0.124301  x = 0.609721 y = 0.0167693
obstacle_x 1.73556 obstacle_y 0.143969  x = 0.609721 y = 0.0167693
obstacle_x 1.73515 obstacle_y 0.163857  x = 0.609721 y = 0.0167693
obstacle_x 1.7334 obstacle_y 0.183623  x = 0.609721 y = 0.0167693
obstacle_x 1.82686 obstacle_y 0.570069  x = 0.609721 y = 0.0167693
obstacle_x 1.80347 obstacle_y 0.584782  x = 0.609721 y = 0.0167693
obstacle_x 1.80054 obstacle_y 0.609092  x = 0.609721 y = 0.0167693
obstacle_x 1.79712 obstacle_y 0.633472  x = 0.609721 y = 0.0167693
obstacle_x 1.79673 obstacle_y 0.659817  x = 0.609721 y = 0.0167693
obstacle_x 1.7949 obstacle_y 0.685843  x = 0.609721 y = 0.0167693
obstacle_x 1.78132 obstacle_y 0.705412  x = 0.609721 y = 0.0167693
obstacle_x 1.75974 obstacle_y 0.720015  x = 0.609721 y = 0.0167693
else R = 2.42994
obstacle_x 1.72032 obstacle_y 0.0218834  x = 0.630326 y = 0.0188497
obstacle_x 1.7251 obstacle_y 0.0410072  x = 0.630326 y = 0.0188497
obstacle_x 1.72655 obstacle_y 0.0601856  x = 0.630326 y = 0.0188497
